City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,Umm Lajj,SA,86.4,overcast clouds,25.0213,37.2685,Moon light Furnished Units
17,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
21,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
22,Kavieng,PG,83.64,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
32,Rikitea,PF,76.46,broken clouds,-23.1203,-134.9692,Pension Maro'i
33,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
38,Raga,SS,75.4,few clouds,8.4596,25.678,
46,Hithadhoo,MV,82.06,broken clouds,-0.6,73.0833,Scoop Guest House
48,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
53,Ishigaki,JP,80.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
56,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
63,Asyut,EG,81.66,clear sky,27.181,31.1837,Florence Hotel Assiut
65,Huaicheng,CN,77.47,overcast clouds,23.9051,112.1931,Tengye Hotel
66,Faanui,PF,79.97,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
69,Butaritari,KI,82.45,light rain,3.0707,172.7902,Isles Sunset Lodge
70,Cueto,CU,81.12,moderate rain,20.6439,-75.9356,Logia Hiram Abí
79,Ugoofaaru,MV,83.16,scattered clouds,5.6667,73.0,Ungoofaaru Inn
85,Ambon,ID,75.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
90,Kapaa,US,82.72,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
91,Avera,US,88.48,overcast clouds,33.194,-82.5271,
98,Iralaya,HN,84.29,clear sky,15.0,-83.2333,Iglesia morava renovada
102,Clearwater,US,85.15,scattered clouds,27.9659,-82.8001,Shephard's Beach Resort
103,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
105,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
112,Half Moon Bay,US,84.02,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
115,Atuona,PF,79.14,few clouds,-9.8,-139.0333,Villa Enata
121,Eyl,SO,79.39,scattered clouds,7.9803,49.8164,Amiin Hotel
126,Kieta,PG,78.58,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
130,Itarema,BR,79.39,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
136,Trincomalee,LK,81.46,broken clouds,8.5711,81.2335,Welcombe Hotel
145,Nishihara,JP,82.06,broken clouds,26.1842,127.7558,Minshuku Agaihama
147,Kutum,SD,78.67,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
150,Baillif,GP,80.1,few clouds,16.0202,-61.7463,Hôtel Saint-Georges
153,Tarauaca,BR,78.24,broken clouds,-8.1614,-70.7656,Flat Temporada
155,Tautira,PF,86.02,scattered clouds,-17.7333,-149.15,Pension Oaoa
157,Lonar,IN,82.58,overcast clouds,19.9833,76.5333,Hotel Jai Bhawani
164,Carutapera,BR,75.69,broken clouds,-1.195,-46.02,Lidera
166,La Peca,PE,75.45,light rain,-5.6111,-78.435,Hospedaje San Miguelito
180,Urucara,BR,77.18,scattered clouds,-2.5364,-57.76,Hotel japa
182,Matara,LK,78.75,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
187,Fort Morgan,US,83.8,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
189,Pemangkat,ID,77.7,overcast clouds,1.1667,108.9667,Ramah Kost KITA
190,Port-Gentil,GA,78.53,overcast clouds,-0.7193,8.7815,Fengshui Residence
195,Samarai,PG,78.04,broken clouds,-10.6167,150.6667,Nuli Sapi
198,Logan,US,82.08,clear sky,41.7355,-111.8344,SpringHill Suites by Marriott Logan
210,Salinopolis,BR,78.24,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
212,Upata,VE,75.07,broken clouds,8.0086,-62.3989,Posada Villa Nela
214,Marzuq,YE,78.33,overcast clouds,14.4,46.4667,
216,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
224,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
227,Chabahar,IR,84.97,clear sky,25.2919,60.643,هتل گدروشیا
229,Jardim,BR,79.59,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
234,Manor,IN,83.77,overcast clouds,19.75,72.9167,Vegas Hotel And Lodging.
235,Capesterre-Belle-Eau,GP,80.62,clear sky,16.0432,-61.566,Villa Mancina
239,Axim,GH,80.74,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
243,Parambu,BR,76.21,broken clouds,-6.2111,-40.6944,Hotel pousada santo onofre
246,Diamantino,BR,75.74,overcast clouds,-14.4086,-56.4461,Hotel Delta
247,Hilo,US,84.27,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
248,Omboue,GA,75.96,overcast clouds,-1.5746,9.2618,Hotel Olako
251,Hambantota,LK,79.61,overcast clouds,6.1241,81.1185,Bungalow 63
252,Labrea,BR,78.76,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
253,Bengkulu,ID,75.38,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
263,Muncar,ID,76.46,overcast clouds,-8.4333,114.3333,Zaky Homestay
266,San Patricio,US,86.09,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
267,Mormugao,IN,81.77,overcast clouds,15.4,73.8,Coconut Creek Resort
268,Minab,IR,85.5,clear sky,27.1467,57.0801,Bam campground
269,Waddan,LY,89.17,scattered clouds,29.1614,16.139,محل الشريف محمد العايب
274,Merauke,ID,78.13,broken clouds,-8.4667,140.3333,
276,Kupang,ID,77.58,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
282,Nioro,GM,80.94,clear sky,13.35,-15.75,
288,Kaduqli,SD,87.87,clear sky,11.0167,29.7167,فندق الله جابو
289,Guayaquil,EC,82.69,few clouds,-2.1667,-79.9,HMHotel
293,San Francisco,US,88.38,broken clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
298,Labuhan,ID,77.7,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
304,Lagos,NG,80.92,overcast clouds,6.5833,3.75,
305,Laguna De Perlas,NI,80.64,light rain,12.3429,-83.6712,Hotel Best View
306,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
307,Akyab,MM,81.1,broken clouds,20.15,92.9,Hotel Memory
312,Ciudad Bolivar,VE,86.65,scattered clouds,8.1222,-63.5497,Hotel Edi
315,Waingapu,ID,77.34,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
318,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
320,Bam,IR,82.96,clear sky,29.106,58.357,Bam Tourist Hotel
323,Sakakah,SA,81.97,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
